measurement_source_value,count
Capillary Refill L,140054
Capillary Refill [Left],17162
Capillary Refill R,145748
Capillary Refill [Right],18621
Captopril,114
Caput,239
CARAIPORIDE CC/HR,53
carbamazepine,21
Carbamazepine,882
Carbon Dioxide,193368
Carboxyhemoglobin,2056
Carcinoembyronic Antigen (CEA),3031
cardene mcg/kg/min,118
Cardiac consult,9
Cardiac Echo,1412
Cardiac Index,214772
Cardiac Index (CI NICOM),872
cardiac index      o,1
Cardiac Murmur,442894
cardiac output,159
Cardiac output,12
Cardiac Output,67
CARDIAC OUTPUT,13
Cardiac Output (CCO),61190
Cardiac Output (CO NICOM),709
cardiac output fluid,58
CARDIAC OUTPUT FLUSH,29
cardiac output ml,17
Cardiac Output (thermodilution),9419
Cardiac Rhythm,101
Cardiologist visit,2
Cardiology consult,12
Cardiology Consult,5
CARIIPORIDE ML/HR,23
carioride cc/hr,36
cariporide,72
CARIPORIDE,66
CARIPORIDE 20MG/HR,69
cariporide @ 21/ml,38
CARIPORIDE CC/HR,169
CARIPORIDE ML/HR,221
CARIPROSIDE,24
Carnitine,62
Car Safety Seat Screen [Remark],1564
Car Safety Seat Screen [Result],1085
Cartridge/Bag Change,3342
Case Management discharge plan,35
cast /splint r leg,11
catherization,2
CATHETER TIP-IV,10913
Cath Lab,536
cath lab out,7
Cath Lab Out,1
cath lab output,22
Cath lab output,2
Cath Lab Output,180
CathLab Output,1
CATH LAB OUTPUT,12
cath lab urine,4
Cath Lab Urine Out,2
CATH LAB URINE OUTPT,5
cath site,10
CBC,5404
CBC and blood cx,1
CBG,8
CC6OUTPUT,2
CC6 URINE,1
cc/cc replacement JP,37
CCI,338
cco,78
C.C.O,17
CCO,416
CCO CI,5
CCO CO,10
CCO PAC Discontinued,536
CCO PAC Dressing Occlusive,8734
CCO PAC Line Tip Cultured,417
CCO PAC placed in outside facility,7765
CCO PAC Placement Confirmed by X-ray,7595
CCO PAC Site Appear,8894
CCO PAC Waveform Appear,8675
CCO PAC Zero/Calibrate,3857
cc's/minute,1
CD10,812
CD103,15
CD117,197
CD11c,172
CD13,266
CD138,30
CD14,181
CD15,185
CD16,30
CD16/56,95
CD16/56%,9
CD16/56 Absolute Count,9
CD19,1213
CD19 %,4
CD19 Absolute Count,4
CD2,581
CD20,864
CD20 %,4
CD20 Absolute Count,4
CD22,21
CD23,608
CD25,23
CD3,687
CD3 %,17
CD33,218
CD34,471
CD38,38
CD3 Absolute Count,17
"CD3 Cells, Percent",2333
CD4,166
CD41,144
CD45,1278
CD4/CD8 Ratio,2070
"CD4 Cells, Percent",2463
CD5,838
CD5 %,8
CD55,43
CD56,196
CD57,21
CD59,43
CD5 Absolute Count,8
CD64,160
CD7,593
CD71,135
CD8,153
"CD8 Cells, Percent",2188
C&DB,12
"C, E, & A Screening",1
Cecostomy,1
cefazolin,24
Cefazolin,89
CEFAZOLIN,7763
CEFEPIME,12406
cefixime,12
cefotaxime,142
Cefotaxime,1280
CEFOTAXIME,64
cefotaxine,17
cefotoxime,33
ceftaxime,2
ceftazadime,41
Ceftazadime,59
ceftazidime,241
Ceftazidime,358
CEFTAZIDIME,14177
ceftazidine,27
CEFTRIAXONE,10153
CEFUROXIME,5379
celestomy drain,15
Cellular Cast,144
Central line SVO2,1
Central Venous O2% Sat,911
Central Venous Pressure,499768
Central Venous Pressure Alarm - High,37247
Central Venous Pressure  Alarm - Low,37190
Centromere,39
cephalexin,32
Cephalohematoma,424
Cerebral Drain #1,12
Cerebral Drain #2,12
Cerebral Drain L Ventricular Drain,7719
Cerebral Drain Other,794
cerebral drain right,178
Cerebral Drain R Ventricular Drain,17646
Cerebral Drain Subdural,832
CEREBRAL LACTATE,62
Cerebral Perfusion Pressure,77445
Cerebral Perfusion Pressure Alarm - High,1958
Cerebral Perfusion Pressure Alarm - Low,2052
Cerebral Subdural #1,446
Cerebral Subdural #2,70
Cerebral Ventricular #1,26915
Cerebral Ventricular #2,1729
Cerv Collar Status,60203
Cervical Collar Status,27899
Cervical Collar Type,90317
CFI (PiCCO),986
Change in Blood Color,389
Changes in Temperature,712
check bruit l arm,2
CHECK BRUIT L ARM,37
check for pulsus q4h,17
CHECK L ARM BRUIT,16
Chest Appearance,667
chest binder,19
Chest Circum    (cm),3
chest dressing,23
Chest Dressing,40
CHEST DRSG W->D,20
CHEST PERCUSSOR T,1
chest pt,31
chest PT,16
Chest PT,22
CHEST PT,18
Chest PT [Left],27117
Chest PT [Right],28711
Chest PT R/L,15290
chest tube,18
Chest tube,3
Chest Tube,23
Chest Tube #1,81128
Chest Tube #2,12840
chest tube # 3,5
chest tube #3,6
Chest Tube #3,5
CHEST TUBE #5,12
chest tube air leak,27
Chest Tube Assessm't,1559
chest tube BEFORE OR,2
chest tube drsg.,2
chest tube drsgs.,5
chest tube dsg,2
Chest tube dsg,26
Chest tube DSG,17
Chest tube fluc,21
Chest tube flush,38
Chest Tube In,2
chest tube in or,2
chest tube irrigant,36
Chest tube irrigate,39
Chest tube pleural,34
CHEST TUBE PLEURALS,36
Chest Tube R #3,94
Chest Tubes Chest Tube,383
Chest Tubes CTICU CT 1,152716
Chest Tubes CTICU CT 2,11172
chest tube site,32
chesttube site,17
Chest tube site,17
Chest Tube Site # 1,40000
Chest Tube Site #1,121189
Chest Tube Site 1,1868
Chest Tube Site # 2,21904
Chest Tube Site #2,73352
Chest Tube Site 2,420
Chest Tube Site #3,19254
Chest Tube Site #4,3369
Chest Tubes Left Pleural 1,24144
Chest Tubes Left Pleural 2,4383
Chest Tubes Mediastinal,8259
Chest Tubes Other,2207
Chest Tubes Right Pleural 1,25448
Chest Tubes Right Pleural 2,5361
Chest Tube Suction,1694
CHEST WT ON/OFF,40
Chest X-Ray,4455
CHG Bath,17338
chloral hydrate,16
Chloral hydrate,4
Chloral Hydrate,36
CHLORAMPHENICOL,868
Chloride,946808
Chloride  (100-112),15737
Chloride (100-112),193723
"Chloride, Ascites",45
"Chloride, Body Fluid",65
"Chloride, Pleural",11
Chloride (serum),160797
"Chloride, Stool",61
"Chloride, Urine",9600
Chloride (whole blood),12004
"Chloride, Whole Blood",48188
CHOLECYSTOSTOMY TUBE,33
Cholesterol,3368
Cholesterol (0-199),6
Cholesterol (<200),2394
"Cholesterol, Ascites",7
"Cholesterol, Body Fluid",9
Cholesterol Crystals,5
"Cholesterol, HDL",18260
"Cholesterol, LDL, Calculated",16486
"Cholesterol, LDL, Measured",2001
"Cholesterol, Pleural",330
Cholesterol Ratio (Total/HDL),18128
"Cholesterol, Total",19444
Chole tube,14
CHOLEY TUBE,115
CHOLEY TUBE DRAINAGE,114
ChpApacheIIScore,15
Chromosomal analysis,1
Chromosomal study,1
Chromosomes,8
CHROMOSOMES,1
Chronic Dilaysis,7
Chronic health on admission,8
ChronicScore_ApacheIV,8
ci,17
CINA SCALE,1
CI (PiCCO),2560
CIPROFLOXACIN,11940
circ,721
Circ,1088
CIRC,88
circ care,317
circcare,37
Circ care,173
Circ Care,108
CIRC CARE,49
circ site,1314
circ. site,43
circ.site,33
Circ site,1529
Circ. site,156
Circ Site,318
Circ. Site,91
CIRC site,19
CIRC SITE,158
Circuit Changed,280
Circulation/SkinInt,439198
Circulation/Skin Integrity,267136
circumcision,234
Circumcision,878
circumcision care,67
circumcision site,202
Circumcision site,241
Circumcision Site,294
CIRCUMCISION SITE,37
circumcison site,5
circumcission,1
Circumsion,14
Circumsion Site:,11
circumsision site,39
cisatacurium mcg/k/m,76
Cisat mcg/kg/hr,2
Cisat mcg/kg/min,41
CISATRAC. MCG/KG/MIN,25
Cisatracu mg/kg/hr,173
cisatracuri/mcg/kg/m,14
cisatracurium,351
Cisatracurium,208
CISATRACURIUM GTT,4
cisatracurium mg/hr,15
cisatracurium mg/kg,36
CISATRACURIUMMG/KG/H,7
CISATRACUR.MCG/KG/MI,36
CISATRACUR.MCGKGMIN,12
CISATRACUR MCG/KG/MN,247
CISATRACUR MCG/K/MIN,15
cisatra mcg/kg/min,17
Cisatra  mcg/kg/min,27
CISATRA MCG/KG/MIN,413
CISATRA. MCG/KG/MIN,34
Cisatra.  MG/KG/HR,16
cisatric mcg/kg/min,24
CISATRICURI MCG/K/MI,83
cisatricurium,877
Cisatricurium,61
cisatricurium/mc/k/m,2
cisatricurium mg/k/h,78
Cisatr mcg/kg/min,105
CIS/CURIUM MG/KG/HR,50
cist mcg/kg/min.,17
Cistracurium,107
cistracurium mg/min,71
cistra  mgm/kg/hr,14
Citrate (ACD-A),38771
Citrate - dialysis,46
ciwa,16
CIWA scale,10
CIWA Scale,4
CIWA SCALE,105
CIWA Sum Total,16704
CK (CPK),26555
CK-MB,20377
CK-MB fraction (%),6485
CK-MB Index,22911
CK/VAGINAL BLEEDING,15
Clindamycin,1341
CLINDAMYCIN,8057
CLONIS,102
Clonus,173
CLOT IN BLOOD BANK,14
CLOT IN BLOODBANK,11
Clots,243
Clot Size (cm),43
Clot to Blood Bank,26
C.O.,2
CO2 production,10
Coag bld wk,2
CO (Arterial),18550
co-bedding,18
Cobedding,38505
"Cocaine, Urine",9387
coccyx drsg,57
coccyx drsg change,69
Coccyx drsg change,5
coccyx dsg change,8
COCCYX GEL/ALLEVYN,23
Coccyx w->d drsg chg,47
Coccyx WTD Dressing,11
CO / CI Change,105
Code Status,3252472
C.O. (fick),39890
Collagen,15
Collar Care,35799
[Color],8324
Color Change,54077
color of toes,64
Color (Overall),445330
Colostomy Stoma,122
combivent,107
Combivent,355
COMBIVENT,21
Combivent MDI,2624
Combivent Puff,14
combivent puffs,26
Combivent puffs,51
Combivent Puffs,31
Commands,43230
Commands Response,45757
Commode,5
Communication,389210
Community Integration,172
complete bath,12
COMPLETE BATH,1
Compliance (40-60ml),214924
Compliance-Corrected,6
Compression device # 1,1109
Compression device # 2,214
Compression device # 3,26
Condom Cath,5757
Consent for visitors,30
Cont EEG,27
Cont. EEG,20
Continuous CI,44
continuous C.O,5
Continuous CO,44
Continuous EEG q1hr,14
Continuous Neb,1
Continuous Pressure Machine Status,331
Cont Neb - Med,357
Cont. Neb Med Dose,183
Cont.Nebulizer(Drug),695
contrast via ngt,3
CONTRAST VIA NGT,5
COO,18
cool bath,9
Cooling Blanket,33
Cooling [Device],21169
Cooling Device,24381
Cooling Device Status,19973
Cooling [Status],20192
%cool mist,1
CO output,2
CO (PiCCO),1967
cord care,20
Cord Drg.,27
Cordis/Introducer Discontinued,1043
Cordis/Introducer Dressing Occlusive,26311
Cordis/Introducer Line Tip Cultured,1301
Cordis/Introducer placed in outside facility,24786
Cordis/Introducer Placement Confirmed by X-ray,21657
Cordis/Introducer Site Appear,27241
corlopam mcgs/kg/min,60
CORNEAL EYE SCRAPINGS,5
CORNEAL REFLEXES,3
Corneal Reflex [Left],70687
Corneal Reflex Left,134576
Corneal Reflex [Right],72095
Corneal Reflex Right,139886
cortisol,6
Cortisol,16464
CORTISOL LEVEL 30 MN,1
CORTISOL LEVEL PRE,1
Cosopt,24
COSOPT DROPS,29
CO-Tandem Heart Flow,11
C.O.(thermodilution),176607
Cough,276
Cough/Deep Breath,76837
Cough/Deep Breathe,113296
COUGH/DEEP BREATHE,12
COUGH/DEEP BREATHING,9
Cough Effort,451293
Cough Reflex,672404
Cough Type,338370
Cpap,11
CPAP,10
CPAP AMT,8
cpap level,2
CPAP MASK,20
CPK,40129
CPK/MB,25166
CPM,1755
CPM MACHINE,23
cpp,42
CPP,85537
CPP WITH CAMINO ICP,27
CPR,16
cpr class,1
CPR instruction,1
CPT,37
CPT/VEST,5
C-Reactive Protein,6604
C Reactive Protein (CRP),743
Creamy Desitin,10
Creatine Kinase (CK),132400
"Creatine Kinase, MB Isoenzyme",115802
Creatinine,1103136
Creatinine   (0-0.7),2102
Creatinine (0-1.3),196054
CreatinineApacheIIScore,19
CreatinineApacheIIValue,16
Creatinine_ApacheIV,8
"Creatinine, Ascites",520
"Creatinine, Body Fluid",320
Creatinine Clearance,150
"Creatinine, Joint Fluid",12
"Creatinine, Pleural",293
"Creatinine, Serum",150
"Creatinine, Urine",33062
CreatScore_ApacheIV,8
CRE Screen,11
Critacaid,10
critcaid ointment,10
critic-aid,26
criticaid,536
Critic-aid,35
Criticaid,601
CRITICAID,6
Criticaid cream,20
criticaide,17
Critic Aide,2
criticaid oint.,9
Critic-aid oint,28
criticaid ointment,116
Criticaid Paste,21
Criticaid/Powder,16
Critic-Aid Skin Pst,1
CRRT mode,27447
Cry,1677
Cryoglobulin,458
crystalloid/dialysis,3
CSF PRESSURE,19
CSF;SPINAL FLUID,4129
CSM CHECK,74
CSM of left toes,198
CSM of right toes,198
CSM R LE,26
csm to right hand,32
CSM to toes,151
CT #1 Crepitus,77848
CT #1 Drainage,143913
CT #1 Dressing,164335
CT #1 Fluctuate,37217
CT #1 [Fluctuate],102621
CT #1 Leak,36367
CT #1 [Leak],98226
CT #1 Suction Amount,153469
CT #1 Suction Type,39087
CT #2 Crepitus,31230
CT #2 Drainage,50125
CT #2 Dressing,53768
CT #2 Fluctuate,15576
CT #2 [Fluctuate],33165
CT #2 Leak,15234
CT #2 [Leak],31949
CT #2 Suction Amount,55505
CT #2 Suction Type,18274
CT #3 Crepitus,8568
CT #3 Drainage,13075
CT #3 Dressing,14135
CT #3 Fluctuate,3815
CT #3 [Fluctuate],8728
CT #3 Leak,3762
CT #3 [Leak],8475
CT #3 Suction Amount,14197
CT #3 Suction Type,4455
CT #4 Crepitus,1884
CT #4 Drainage,2632
CT #4 Dressing,2682
CT #4 Fluctuate,410
CT #4 [Fluctuate],2129
CT #4 Leak,407
CT #4 [Leak],2083
CT #4 Suction Amount,2736
CT #4 Suction Type,436
CT #5 CREPITUS.,12
CT #5 DRAINAGE.,12
CT #5 DRESSING.,13
CT #5 FLUCTUATE/LEAK,12
CT #5 SUCTION AMOUNT,13
ct dressing,10
CT DRSG,3
CT dsg,43
CT OUTPUT OR,1
CT R. pleural #3,5
CT scan,1
CT Scan,53
CT site,16
CT SITE DRAIN,11
CT sites,83
Cuff Leak,69425
cuff leak present,1
CUFF P.,7
Cuff pres.,1
CUFF PRESS.,9
cuff pressure,24
Cuff Pressure,40496
CUFF PRESSURE,1
Cuff Pressure-Airway,18283
Cuff Volume (mL),2653
Cuff Volume/units,1351
Current Goal,117865
Current Level,8243
Current Used/mA,9361
CVL,96
CVL Dressing Change,40
CVL site,91
CvO2,264
cvp,2
CVP,1198681
CVP Alarm [High],667109
CVP Alarm [Low],672995
CVVH OUTPUT FROM OR,2
CXT site,52
Cyclogyl,1782
Cyclomydril,2062
Cyclomydril eye drop,1
Cyclopentalate,24
cyclopentolate,63
Cyclopentolate,76
cyclopentolate 1%,24
Cyclopentolate 1%,10
cyclosporin,47
Cyclosporin,10327
cyclosporin 3mg/hr,58
cyclosporine,28
Cyclosporine   mg/hr,2
Cyclosporine mg/hr,206
cyclosporin mg/h,57
CYCLOSPORIN --MG/HR,38
Cysteine Crystals,5
D02,3
D02-1,22
d10w,2
D10W bolus,2
D50 amp bolus,1
d51/2NSc 20meq kcl,3
D5 1/2ns w/20meq kcl,2
D5W,29
D5W 100meq NaHC03,1
d5w 10gm ca+ glucon,1
D5W & 40Gm CaGluc,2
D5W via J-tube,18
D5W VIA J-TUBE,51
D5W VIA PEG,18
Dad held infant,27826
Dad in to visit,105531
Daily Wake Up,678473
Daily Wake Up Deferred,223446
Daily Weight,93618
DaPT,1
Davol,23
Day of Life,439168
D-Dimer,7820
D-Dimer (0-500),2164
Decadron,270
Decadron drops,8
Decadron nose drops,5
decub drsg.,18
decub drsg change,22
DECUBITI CARE,31
DEEP BREATH & COUGH,32
DEEP BREATH&COUGH,59
deflate rectal foley,24
DEFLATE RECTAL TUBE,54
deistin,25
Delirium assessment,42780
Delta P,35834
demerol,32
Demerol,5
DEMEROL,13
DEMEROL DRIP,1
derm consult,1
desetin,26
desitin,1168
Desitin,1602
DESITIN,190
desitin cream,17
desitin ointment,33
desitin prn,53
Desitin prn,28
Dexamethasone,147
dexamethasone drops,11
Dexamethasone drops,25
dexamethasone eye ds,1
Dexamethasone eye ds,11
dexamethasone gtts,22
Dexamethasone gtts,44
"Dexamethasone, gtts",16
Dexamethasone nasal,15
dexmedetomidine,37
Dexmedetomidine,13
Dexmedetomine HCl,5
Dextran,26
DEXTRAN 40%,1
DEXTRAN 40  10%,35
DEXTRAN LML 10%,71
dextrose,7
DEXTROSE GM/HR,34
DHEA-Sulfate,58
Diabetes,7
Diagnosis/op,41702
Dialysate Flow ml/hr,55866
Dialysate Fluid,58515
Dialysate Infusing,55070
dialysate out,63
Dialysate Rate,59899
dialysis,88
Dialysis,35
Dialysis.,3
DIALYSIS,34
Dialysis 1.5% IN,45
Dialysis Access Site,58864
Dialysis Access Type,58584
Dialysis Catheter Discontinued,229
Dialysis Catheter Dressing Occlusive,33433
Dialysis Catheter placed in outside facility,32078
Dialysis Catheter Placement Confirmed by X-ray,22144
Dialysis Catheter Site Appear,38910
Dialysis Catheter Tip Cultured,745
Dialysis Catheter Type,29546
DIALYSIS FLUID,174
dialysis fluid off,1
dialysis- fluid off,2
Dialysis fluids,3
dialysis flush,2
dialysis in,18
Dialysis In,3
Dialysis indwelling,20
dialysis/intake,2
Dialysis Machine,26581
dialysis net,4
dialysis off,2
DIALYSIS OFF,1
dialysis  out,4
dialysis out,33
Dialysis out,27
Dialysis Out,39
DIALYSIS OUT,12
dialysis output,23
Dialysis output,66
Dialysis Output.,2
DIALYSIS OUTPUT,9
dialysis removed,1
Dialysis Removed,2
DIALYSIS REMOVED,3
Dialysis Site Appear,36071
DIALYSIS TOTAL OUT,3
Dialysis Type,59845
dialyslate out,3
Dialysys out,1
Diamox,218
Diaper,1
diaper area,50
diaper rash,281
Diaper rash,45
Diastolic Unloading,20294
diayalsis out.,2
Diazoxide,37
DIAZOXIDE,97
Diet Type,1276991
Differential-Atyps,7535
Differential-Bands,22313
Differential-Basos,42156
Differential-Eos,42156
Differential-Lymphs,42159
Differential-Monos,42158
Differential-Neuts,20423
Differential-Polys,21732
Digoxin,12499
Digoxin  (1-2ng/ml),3
Dilantin,8283
dilaudid,26
Diplopia,18
Direct Antigen Test for Herpes Simplex Virus Types 1 & 2,188
DIRECT ANTIGEN TEST FOR VARICELLA-ZOSTER VIRUS,106
Direct Bili,2876
Direct Bili (0-0.3),22628
Direct Bilirubin,3340
Direct Coombs,29
Directed Donor,74
Discharge to,1055
Discon,11
disconect alarm,5
disconnect,1
Disconnect,1
disconnect alarm,18
Disconnect alarm,6
Disconnect alarm.,2
Disconnect Alarm,1
DISCONNECT ALARM,7
disconnect time,3
Disease State,10592
diuril,112
Diuril,8620
DME,13
DO2,16772
DO2 I,13
DO2I,22935
DO2 INDEX,8
dobutamine,1
Domeboro soak,14
domeboro soaks,31
DOPA mcg/k/min,88
Dopamine,1
DOPAMINE DRIP,6
DOPAMINE MICS/KG/MIN,19
Doppler BP,240
DOPPLER FLAP CHECK,68
Dorsal PedPulse L,354964
Dorsal PedPulse [Left],571289
Dorsal PedPulse R,363061
Dorsal PedPulse [Right],577780
Double Stranded DNA,301
DP,71
dPaw,3
dPes,3
Drain 1 flush L side,2
Drain #1 WOUND,21
Drain #2 Bili,3
drain #2 other,1
Drain #3 and wound,63
Drain 3 flush R side,2
Drainage bag,3
Drainage Bag,4628
drainage fr CT site,2
drainage left arm,6
drainag/pigtail site,8
Drain bag old CTsite,15
drain flush,68
Drain flush,4
Drain Flush,28
DRAIN FLUSH,68
drain flush l,36
drain flush r,36
drainged from old HD,3
drainge fr CT site,2
drain irrigant,197
Drain Out #1 Anderson,79
Drain Out #1 Davol,46
Drain Out #1 Hemovac,2136
Drain Out #1 Jackson Pratt,28864
Drain Out #1 Jejunostomy Tube,244
Drain Out #1 JP Lateral,3291
Drain Out #1 JP Medial,8447
Drain Out #1 Lt Nephrostomy,439
Drain Out #1 Lumbar,3771
Drain Out #1 Other,7635
Drain Out #1 Penrose,66
Drain Out #1 Pericardial,1950
Drain Out #1 Pigtail,2803
Drain Out #1 Red Rubber,8
Drain Out #1 Rt Nephrostomy,231
Drain Out #1 Sump,453
Drain Out #1 Tap,424
Drain Out #1 T Tube,1609
Drain Out #1 Wound Vac,2162
Drain Out #2 Anderson,42
Drain Out #2 Davol,5
Drain Out #2 Hemovac,382
Drain Out #2 Jackson Pratt,11188
Drain Out #2 Jejunostomy Tube,49
Drain Out #2 JP Lateral,6034
Drain Out #2 JP Medial,1487
Drain Out #2 Lt Nephrostomy,81
Drain Out #2 Lumbar,216
Drain Out #2 Other,2027
Drain Out #2 Penrose,46
Drain Out #2 Pericardial,14
Drain Out #2 Pigtail,1406
Drain Out #2 Red Rubber,6
Drain Out #2 Rt Nephrostomy,7
Drain Out #2 Sump,104
Drain Out #2 Tap,28
Drain Out #2 T Tube,674
Drain Out #2 Wound Vac,536
Drain Out #3 Davol,5
Drain Out #3 Hemovac,89
Drain Out #3 Jackson Pratt,4528
Drain Out #3 Jejunostomy Tube,63
Drain Out #3 JP Lateral,312
Drain Out #3 JP Medial,7
Drain Out #3 Lumbar,103
Drain Out #3 Other,1063
Drain Out #3 Penrose,66
Drain Out #3 Pigtail,605
Drain Out #3 Sump,244
Drain Out #3 Tap,4
Drain Out #3 T Tube,2092
Drain Out #3 Wound Vac,433
Drain Out #4 Davol,5
Drain Out #4 Hemovac,34
Drain Out #4 Jackson Pratt,2025
Drain Out #4 Jejunostomy Tube,2
Drain Out #4 JP Lateral,9
Drain Out #4 JP Medial,31
Drain Out #4 Other,500
Drain Out #4 Penrose,5
Drain Out #4 Pigtail,346
Drain Out #4 Sump,19
Drain Out #4 Tap,6
Drain Out #4 T Tube,117
Drain Out #4 Wound Vac,169
Drain Out #5 Hemovac,9
Drain Out #5 Jackson Pratt,216
Drain Out #5 Jejunostomy Tube,18
Drain Out #5 JP Lateral,5
Drain Out #5 JP Medial,5
Drain Out #5 Other,190
Drain Out #5 Pigtail,188
Drain Out #5 Sump,40
Drain Out #5 Tap,2
Drain Out #5 T Tube,240
Drain Out #5 Wound Vac,141
Drain Out #6 Jackson Pratt,32
Drain Out #6 Jejunostomy Tube,4
Drain Out #6 JP Medial,50
Drain Out #6 Other,64
Drain Out #6 Pigtail,29
Drain Out #6 T Tube,18
Drain Out #7 Jackson Pratt,76
Drain Out #7 Jejunostomy Tube,3
Drain Out #7 Other,61
Drain Out #7 Pigtail,30
Drain Out #7 Tap,1
Drain Out #7 Wound Vac,7
Drain Out #8 Jackson Pratt,71
Drain Out #8 Other,36
Drain Out #8 Pigtail,30
Drain Out #8 Tap,1
drain out lateral,15
drain out medial,15
Drain pouch #1,4
Drain Pouch #2,5
Drain segment IV,3
DRAIN SITE,16
dressing.,57
Dressing,4
dressing change,33
Dressing change,20
Dressing  Change,42
dressing changes,9
Dressing Status #1,138164
Dressing Status #2,56763
Dressing Status #3,18154
Dressing Status #4,6072
Dressing Status #5,1951
Dressing Status #6,788
drive p,5
drive P.,16
driveP,71
DRIVE P.,18
drive pr,25
Drive Pres,2
Driving P,132
Driving P.,21
driving pr,9
driving press,83
Driving Press,5
DRIVING PRESS,57
DRIVING PRESS.,14
driving pressure,901
Driving pressure,686
Driving Pressure,531
Driving Pressure:,2
DRIVING  PRESSURE,51
DRIVING PRESSURE,418
DRIVING PRSSR,62
Drivng press,6
DRIV PRESS,4
Driv pressure,4
Drowsiness,22995
drsg change,6
drsgs change,7
DSD,19
DSD on head,18
DSG CHANGE,10
dsg change to coccyx,12
DSG SITE,24
DswfApacheScore,15
DTaP,267
dtap-hepb-ipv comb.,1
DTO,14
DTR,2
Dual Signal Screen,43
dulc.supp andenema,1
duodenal drain,4
duodenostomy tube,152
DVO2,4
DVO2I,3
Dwell Time (Peritoneal Dialysis),426
DYALISIS OUT,1
dyalysis out put,1
EAR,40
ECG,1144
ECHO,10
ecmo,8
ECMO,235
ecmo fio2,14
ecmo flow,287
ECMO flow,31
ECMO FLOW,121
ECMO Flow L/min,5
ECMO FLOW RATE,15
Ecmo Flows,24
ecmo l/min,49
ecmp pump flow,7
Ectopy Frequency,2544519
Ectopy Frequency 1,320717
Ectopy Frequency 2,19974
Ectopy Type,3236350
Ectopy Type 1,1849062
Ectopy Type 2,26496
EDC,8243
edema,39
Edema,61
EDEMA,6
Edema #1 [Amount],61780
Edema #1 [Location],66261
Edema #2 [Amount],22514
Edema #2 [Location],23912
Edema Amount,163325
Edema [Existence],92097
Edema [Location],70421
Edema Location,355492
edi,11
EDM CI,11
EDM CO,11
ed output,4
ED output,4
ED OUTPUT,11
EDTA Hold,9155
Education Barrier,372069
Education Handout,123585
Education Learner,347373
Education Method,341058
Education Readiness,338567
Education Response,330030
Education Topic,510560
Education Topic #1,448498
Education Topic #2,108850
ED URINE,2
ED Urine OUT,2
ED Urine output,2
ED URINE OUTPUT,2
edv,21
EDV,324
EDV1,41
edvi,1739
EDVI,12303
EEG,628
EEG (burst/min),79
EEG/Cont,15
EEG run,7
EF,163
EF %,36
EF (CCO),307
Effluent BUN,1
Effluent Cr,1
effluent out,11
Effluent Press mmHg,54669
Effluent Pressure,58328
egg crate,5
Ejection Fraction,2
EKG,26
Elastic gloves,30
elemental calcium,13
Elevate L leg,4
ELEVATE R ARM,21
ELEVATE R LEG 2 PIL,16
Elliptocytes,1606
ELWI (PiCCO),1177
emesis,80
Emesis,3197
EMESIS,7
Emesis [Appearance],1336
Emesis Appearance,3680
Emesis [pH],87
EMLA,3
Emycin ointment,21
endo drainage,3
enema,1
Enema administration,140
Energy Expenditure,18
Enfamil 24 G-tube,1
Enteral In for Calc.,14301
Envelope Cells,453
Environment,440422
Environmental Interv,18968
EOMs,24
Eosinophil Count,217
Eosinophils,186534
epicardial pacemaker,11
epidural,6
Epidural,10
EPIDURAL,8
Epidural Appearance,14117
Epidural Bolus,2981
Epidural Bolus (mL),1581
Epidural Infusion Rate (mL/hr),7867
Epidural Location,18918
Epidural Medication,20703
epidural ml/hr,18
Epidural ml/hr,59
Epidural rate,19
EPIDURAL RATE,45
Epidural Total Dose,2754
Epidural Total Dose (mL),933
Epi Infusion Rate,13127
Epinepherine,15
Epinephrin,1
epinephrine mcg/min,30
epi. of stool incont,11
Epithelial Casts,4
Epithelial Cells,83200
EP lab output,2
epoetin alfa,10
Epogen,38
EPOGEN,6
EPOPROSTENOL,101
ergocalciferol,26
er ngt output,2
er out,3
ER out,1
ER OUT,2
er output,2
ER output,12
ER Output,2
ER OUTPUT,4
ER urine,2
ER URINE,19
er urine out,1
E.R. urine out,2
ER urine out,2
E.R. URINE OUT,2
ER URINR OUTPUT,1
Erythro eye oint,18
erythromycin,49
Erythromycin,51
ERYTHROMYCIN,10855
Erythromycin oint,77
Erythromycin Oint,20
Erythromycin Oint.,11361
Erythropoetin,11
Erythropoetin SQ,9
ESMOLOL MCG/MIN,14
esoph balloon,1
esoph press,3
Estimated Actual Glucose,320
Estimated Energy Needs/Kg,496
Estimated GFR (MDRD equation),63253
Estimated Protein Needs/Kg,466
Estradiol,76
ETCO2,6
Ethanol,10787
"Ethanol, Urine",59
ETOH Grams/hour,72
ETT Changed,2176
ETT [Location],365329
ETT Location,168124
ETT [Mark],375189
ETT Mark (cm),167357
ETT Mark (location),18749
ETT out,2
ETT Position Change,27537
ETT Re-taped,6366
ETT (Re)Taped,3291
ETT rotation,5
ETT Size,223833
ETT Size (ID),167186
ETT Sx Color,49155
ETT Sx Quality,7408
ETT Sx Quantity,50350
ETT Taped at (cm),215425
ETT Type,167217
evd,11
EW output,2
EW OUTPUT,4
EW Urine,1
EW URINE OUT,2
ew-urine output,2
EW urine output,4
EXCESS PD OUTPUT,5
Excoriated,432
Exercises,76
exh. ve,3
exh. vt,5
Expiratory Ratio,206869
expir pressure,1
Ext,41704
extra digit rt/lt fr,33
extremities elevated,16
EYE,136
